coordinates,date,hashtags,language,source,text,user
,2/15/2019 17:00,"[{'text': 'hawksbill', 'indices': [21, 31]}, {'text': 'biodiversity', 'indices': [95, 108]}]",en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @Save_Hawksbills: #hawksbill sea turtles are important to coral reefs as they help increase #biodiversity by eating sponges https://t.co…,OceanConnectors
,2/15/2019 16:59,[],en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@CharlieCarrel All endangered animals. And Elephants. Rhinos. Sturgeon. Dinosaurs. Sea Turtles.  Whales. And the po… https://t.co/K8GWMvwtXb,TheDeadHeadAA
,2/15/2019 16:58,[],en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @Vcllx1: Threats to the extinction of sea turtles 🐢:
1. Faulty fishing
2. Fishing of sea turtles
3. Sea pollution
4. Climate change
And…",En3amahr
,2/14/2019 15:24,[],en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","The U.S. produces 64% more CO2 emissions per person than Germany, despite the fact that Germany has a coal habit.… https://t.co/9ls4DtspJJ",bopinion
,2/15/2019 17:12,[],en,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",RT @ClimateRealists: If only these kids had the FACTS on Climate Change... they have been frightened and brainwashed by computer modelling.…,tedmilo100
,2/15/2019 17:12,[],en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@IfkovicsA @paulkrugman P4)....year to 20 billion ton/yr by 2030. Then by 2050, we have to be near zero CO2 emissio… https://t.co/hwH6QWjAme",AvengingLiberal
,2/15/2019 17:11,[],en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@spacetimetrap Solar flares involve ""astronomical"" amounts of energy that is not accompanied by CO2 emissions! 😁💥☀️",airscottdenning
,2/15/2019 17:11,[],en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @luisbaram: China is adding one “Canada” worth of CO2 emissions every 15 months or so. 
Tell us again how a Canadian carbon tax will mak…",magnoliamagpie2
,2/15/2019 17:11,[],en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@MachineStopper @cathmckenna Immigration to Canada adds to the global CO2 footprint. In most cases we are mining th… https://t.co/9OxssJf9vV,HardBackStrider
,2/15/2019 17:10,[],en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@williamogilvie1 @NikolovScience Plants have certainly flourished in higher levels of CO2 than we see today. Bigges… https://t.co/CY3n8o9zPU,blankstaring
,2/15/2019 17:10,[],en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @tracyschoenberg: So the power plant would emit more CO2 and greenhouse gasses than any other power plant in the state How are we even c…,BarbaraMain07
,2/15/2019 17:10,[],en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@MaxWattage @ruthie_whyte @jessicaelgot Of course the climate changes and it is happening. The question is whether… https://t.co/e1iF28R9H3,AndyShaw1
,2/15/2019 17:09,[],en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@NorthernPleb If the scientists tell me co2 will warm the planet who am I to argue? But the thing that is a bit biz… https://t.co/bNVvoMvtF2,geedeeaitch
,2/15/2019 17:09,[],en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @EX9_Libertarian: Climate change isn't man made. The temp of the Earth has been changing naturally for millions of years. See the ice ag…,pheath61
,2/15/2019 17:08,[],en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @KenCaldeira: The warming effect of the CO2, over its lifetime in the atmosphere, from burning a lump of coal is more than 100,000 times…",MSR_Future
,2/13/2019 18:00,[],en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",The Trump admin proposed a former landfill as a place to house immigrant children. A new report finds that that sit… https://t.co/tJVdqxybaV,kylegriffin1
,2/15/2019 17:09,"[{'text': 'GreenWeek', 'indices': [49, 59]}, {'text': 'totebag', 'indices': [92, 100]}, {'text': 'TShirt', 'indices': [113, 120]}]",en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RT @QUBFinanceGreen: Today we have our fantastic #GreenWeek workshop - drop in &amp; make a #totebag from an old #TShirt in Committee Room A. C…,JanetFlannery
,2/15/2019 17:07,[],en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @aplastic_planet: From paradise to landfill: beloved California beach covered in trash https://t.co/57G8BBxMxk,jilloakes60
,2/15/2019 16:58,[],en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",We're in the final stretch of packing. Landfill run today for everything that can't be donated or used or recycled.… https://t.co/tItAFSg0cN,_aviselan
,2/15/2019 16:58,[],en,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",RT @GoodMenProject: Zero Waste Guy Jonathan Levy sorts through Buzzfeed's trash to help them reduce landfill material by 20%. https://t.co/…,sherryjones
,2/15/2019 16:52,[],en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Most avocado seeds in Mexico used to end up being burned at landfill sites... until a company found a way to turn t… https://t.co/XiSMZk7dL8,ThinkBioplastic
